# NFL spread data
('2009-10-25T17:00:00.000000', u'KC', u'LAC', -30.0)
('2009-10-25T17:00:00.000000', u'LAR', u'IND', -36.0)
('2009-10-25T17:00:00.000000', u'PIT', u'MIN', 10.0)
('2009-10-25T17:00:00.000000', u'TB', u'NE', -28.0)
('2009-10-25T20:05:00.000000', u'CAR', u'BUF', -11.0)
('2009-10-25T20:05:00.000000', u'OAK', u'NYJ', -38.0)
('2009-10-25T20:15:00.000000', u'CIN', u'CHI', 35.0)
('2009-10-25T20:15:00.000000', u'DAL', u'ATL', 16.0)
('2009-10-25T20:15:00.000000', u'MIA', u'NO', -12.0)
('2009-10-26T00:20:00.000000', u'NYG', u'ARI', -7.0)
('2009-10-27T00:30:00.000000', u'WAS', u'PHI', -10.0)
('2009-11-01T18:00:00.000000', u'BAL', u'DEN', 23.0)
('2009-11-01T18:00:00.000000', u'BUF', u'HOU', -21.0)
('2009-11-01T18:00:00.000000', u'CHI', u'CLE', 24.0)
('2009-11-01T18:00:00.000000', u'DAL', u'SEA', 21.0)
('2009-11-01T18:00:00.000000', u'DET', u'LAR', -7.0)
('2009-11-01T18:00:00.000000', u'IND', u'SF', 4.0)
('2009-11-01T18:00:00.000000', u'NYJ', u'MIA', -5.0)
('2009-11-01T18:00:00.000000', u'PHI', u'NYG', 23.0)
('2009-11-01T21:05:00.000000', u'LAC', u'OAK', 8.0)
('2009-11-01T21:05:00.000000', u'TEN', u'JAC', 17.0)
('2009-11-01T21:15:00.000000', u'ARI', u'CAR', -13.0)
('2009-11-01T21:15:00.000000', u'GB', u'MIN', -12.0)
('2009-11-03T01:30:00.000000', u'NO', u'ATL', 8.0)
('2009-11-08T18:00:00.000000', u'ATL', u'WAS', 14.0)
('2009-11-08T18:00:00.000000', u'CHI', u'ARI', -20.0)
('2009-11-08T18:00:00.000000', u'CIN', u'BAL', 10.0)
('2009-11-08T18:00:00.000000', u'IND', u'HOU', 3.0)
('2009-11-08T18:00:00.000000', u'JAC', u'KC', 3.0)
('2009-11-08T18:00:00.000000', u'NE', u'MIA', 10.0)
('2009-11-08T18:00:00.000000', u'TB', u'GB', 10.0)
('2009-11-08T21:05:00.000000', u'NO', u'CAR', 10.0)
('2009-11-08T21:05:00.000000', u'SEA', u'DET', 12.0)
('2009-11-08T21:15:00.000000', u'NYG', u'LAC', -1.0)
('2009-11-08T21:15:00.000000', u'SF', u'TEN', -7.0)
('2009-11-09T01:20:00.000000', u'PHI', u'DAL', -4.0)
('2009-11-10T01:30:00.000000', u'DEN', u'PIT', -18.0)
('2009-11-13T01:20:00.000000', u'SF', u'CHI', 4.0)
('2009-11-15T18:00:00.000000', u'CAR', u'ATL', 9.0)
('2009-11-15T18:00:00.000000', u'LAR', u'NO', -5.0)
('2009-11-15T18:00:00.000000', u'MIA', u'TB', 2.0)
('2009-11-15T18:00:00.000000', u'MIN', u'DET', 17.0)
('2009-11-15T18:00:00.000000', u'NYJ', u'JAC', -2.0)
('2009-11-15T18:00:00.000000', u'PIT', u'CIN', -6.0)
('2009-11-15T18:00:00.000000', u'TEN', u'BUF', 24.0)
('2009-11-15T18:00:00.000000', u'WAS', u'DEN', 10.0)
('2009-11-15T21:05:00.000000', u'OAK', u'KC', -6.0)
('2009-11-15T21:15:00.000000', u'ARI', u'SEA', 11.0)
('2009-11-15T21:15:00.000000', u'GB', u'DAL', 10.0)
('2009-11-15T21:15:00.000000', u'LAC', u'PHI', 8.0)
('2009-11-16T01:20:00.000000', u'IND', u'NE', 1.0)
('2009-11-17T01:30:00.000000', u'CLE', u'BAL', -16.0)
('2009-11-20T01:20:00.000000', u'CAR', u'MIA', -7.0)
('2009-11-22T18:00:00.000000', u'BAL', u'IND', -2.0)
('2009-11-22T18:00:00.000000', u'DAL', u'WAS', 1.0)
('2009-11-22T18:00:00.000000', u'DET', u'CLE', 1.0)
('2009-11-22T18:00:00.000000', u'GB', u'SF', 6.0)
('2009-11-22T18:00:00.000000', u'JAC', u'BUF', 3.0)
('2009-11-22T18:00:00.000000', u'KC', u'PIT', 3.0)
('2009-11-22T18:00:00.000000', u'MIN', u'SEA', 26.0)
('2009-11-22T18:00:00.000000', u'NYG', u'ATL', 3.0)
('2009-11-22T18:00:00.000000', u'TB', u'NO', -31.0)
