# NFL spread data
('2010-11-21T18:00:00.000000', u'DAL', u'DET', 16.0)
('2010-11-21T18:00:00.000000', u'JAC', u'CLE', 4.0)
('2010-11-21T18:00:00.000000', u'KC', u'ARI', 18.0)
('2010-11-21T18:00:00.000000', u'MIN', u'GB', -28.0)
('2010-11-21T18:00:00.000000', u'NYJ', u'HOU', 3.0)
('2010-11-21T18:00:00.000000', u'PIT', u'OAK', 32.0)
('2010-11-21T18:00:00.000000', u'TEN', u'WAS', -3.0)
('2010-11-21T21:05:00.000000', u'LAR', u'ATL', -17.0)
('2010-11-21T21:05:00.000000', u'NO', u'SEA', 15.0)
('2010-11-21T21:05:00.000000', u'SF', u'TB', -21.0)
('2010-11-21T21:15:00.000000', u'NE', u'IND', 3.0)
('2010-11-22T01:20:00.000000', u'PHI', u'NYG', 10.0)
('2010-11-23T01:30:00.000000', u'LAC', u'DEN', 21.0)
('2010-11-25T17:30:00.000000', u'DET', u'NE', -21.0)
('2010-11-25T21:15:00.000000', u'DAL', u'NO', -3.0)
('2010-11-26T01:20:00.000000', u'NYJ', u'CIN', 16.0)
('2010-11-28T18:00:00.000000', u'ATL', u'GB', 3.0)
('2010-11-28T18:00:00.000000', u'BUF', u'PIT', -3.0)
('2010-11-28T18:00:00.000000', u'CLE', u'CAR', 1.0)
('2010-11-28T18:00:00.000000', u'HOU', u'TEN', 20.0)
('2010-11-28T18:00:00.000000', u'NYG', u'JAC', 4.0)
('2010-11-28T18:00:00.000000', u'WAS', u'MIN', -4.0)
('2010-11-28T21:05:00.000000', u'OAK', u'MIA', -16.0)
('2010-11-28T21:05:00.000000', u'SEA', u'KC', -18.0)
('2010-11-28T21:15:00.000000', u'BAL', u'TB', 7.0)
('2010-11-28T21:15:00.000000', u'CHI', u'PHI', 5.0)
('2010-11-28T21:15:00.000000', u'DEN', u'LAR', -3.0)
('2010-11-29T01:20:00.000000', u'IND', u'LAC', -22.0)
('2010-11-30T01:30:00.000000', u'ARI', u'SF', -21.0)
('2010-12-03T01:20:00.000000', u'PHI', u'HOU', 10.0)
('2010-12-05T18:00:00.000000', u'CIN', u'NO', -4.0)
('2010-12-05T18:00:00.000000', u'DET', u'CHI', -4.0)
('2010-12-05T18:00:00.000000', u'GB', u'SF', 18.0)
('2010-12-05T18:00:00.000000', u'KC', u'DEN', 4.0)
('2010-12-05T18:00:00.000000', u'MIA', u'CLE', -3.0)
('2010-12-05T18:00:00.000000', u'MIN', u'BUF', 24.0)
('2010-12-05T18:00:00.000000', u'NYG', u'WAS', 24.0)
('2010-12-05T18:00:00.000000', u'TEN', u'JAC', -11.0)
('2010-12-05T21:05:00.000000', u'LAC', u'OAK', -15.0)
('2010-12-05T21:15:00.000000', u'ARI', u'LAR', -13.0)
('2010-12-05T21:15:00.000000', u'IND', u'DAL', -3.0)
('2010-12-05T21:15:00.000000', u'SEA', u'CAR', 17.0)
('2010-12-05T21:15:00.000000', u'TB', u'ATL', -4.0)
('2010-12-06T01:20:00.000000', u'BAL', u'PIT', -3.0)
('2010-12-07T01:30:00.000000', u'NE', u'NYJ', 42.0)
('2010-12-10T01:20:00.000000', u'TEN', u'IND', -2.0)
('2010-12-12T18:00:00.000000', u'BUF', u'CLE', 7.0)
('2010-12-12T18:00:00.000000', u'CAR', u'ATL', -21.0)
('2010-12-12T18:00:00.000000', u'DET', u'GB', 4.0)
('2010-12-12T18:00:00.000000', u'JAC', u'OAK', 7.0)
('2010-12-12T18:00:00.000000', u'PIT', u'CIN', 16.0)
('2010-12-12T18:00:00.000000', u'WAS', u'TB', -1.0)
('2010-12-12T21:05:00.000000', u'NO', u'LAR', 18.0)
('2010-12-12T21:05:00.000000', u'SF', u'SEA', 19.0)
('2010-12-12T21:15:00.000000', u'ARI', u'DEN', 30.0)
('2010-12-12T21:15:00.000000', u'CHI', u'NE', -29.0)
('2010-12-12T21:15:00.000000', u'LAC', u'KC', 31.0)
('2010-12-12T21:15:00.000000', u'NYJ', u'MIA', -4.0)
('2010-12-13T01:20:00.000000', u'DAL', u'PHI', -3.0)
('2010-12-14T00:20:00.000000', u'MIN', u'NYG', -18.0)
('2010-12-14T01:30:00.000000', u'HOU', u'BAL', -6.0)
('2010-12-17T01:20:00.000000', u'LAC', u'SF', 27.0)
('2010-12-19T18:00:00.000000', u'BAL', u'NO', 6.0)
('2010-12-19T18:00:00.000000', u'CAR', u'ARI', 7.0)
('2010-12-19T18:00:00.000000', u'CIN', u'CLE', 2.0)
('2010-12-19T18:00:00.000000', u'DAL', u'WAS', 3.0)
('2010-12-19T18:00:00.000000', u'IND', u'JAC', 10.0)
('2010-12-19T18:00:00.000000', u'LAR', u'KC', -14.0)
('2010-12-19T18:00:00.000000', u'MIA', u'BUF', -3.0)
('2010-12-19T18:00:00.000000', u'NYG', u'PHI', -7.0)
('2010-12-19T18:00:00.000000', u'TB', u'DET', -3.0)
('2010-12-19T18:00:00.000000', u'TEN', u'HOU', 14.0)
('2010-12-19T21:05:00.000000', u'SEA', u'ATL', -16.0)
('2010-12-19T21:15:00.000000', u'OAK', u'DEN', 16.0)
('2010-12-19T21:15:00.000000', u'PIT', u'NYJ', -5.0)
('2010-12-20T01:20:00.000000', u'NE', u'GB', 4.0)
('2010-12-21T01:30:00.000000', u'MIN', u'CHI', -26.0)
('2010-12-24T01:20:00.000000', u'PIT', u'CAR', 24.0)
('2010-12-26T00:30:00.000000', u'ARI', u'DAL', 1.0)
('2010-12-26T18:00:00.000000', u'BUF', u'NE', -31.0)
('2010-12-26T18:00:00.000000', u'CHI', u'NYJ', 4.0)
('2010-12-26T18:00:00.000000', u'CLE', u'BAL', -10.0)
('2010-12-26T18:00:00.000000', u'JAC', u'WAS', -3.0)
('2010-12-26T18:00:00.000000', u'KC', u'TEN', 20.0)
('2010-12-26T18:00:00.000000', u'LAR', u'SF', 8.0)
('2010-12-26T18:00:00.000000', u'MIA', u'DET', -7.0)
('2010-12-26T21:05:00.000000', u'CIN', u'LAC', 14.0)
('2010-12-26T21:05:00.000000', u'DEN', u'HOU', 1.0)
('2010-12-26T21:05:00.000000', u'OAK', u'IND', -5.0)
('2010-12-26T21:15:00.000000', u'GB', u'NYG', 28.0)
('2010-12-26T21:15:00.000000', u'TB', u'SEA', 23.0)
('2010-12-28T01:30:00.000000', u'ATL', u'NO', -3.0)
('2010-12-29T01:00:00.000000', u'PHI', u'MIN', -10.0)
('2011-01-02T18:00:00.000000', u'ATL', u'CAR', 21.0)
('2011-01-02T18:00:00.000000', u'BAL', u'CIN', 6.0)
('2011-01-02T18:00:00.000000', u'CLE', u'PIT', -32.0)
('2011-01-02T18:00:00.000000', u'DET', u'MIN', 7.0)
('2011-01-02T18:00:00.000000', u'KC', u'OAK', -21.0)
('2011-01-02T18:00:00.000000', u'NE', u'MIA', 31.0)
('2011-01-02T18:00:00.000000', u'NO', u'TB', -10.0)
('2011-01-02T18:00:00.000000', u'NYJ', u'BUF', 31.0)
('2011-01-02T21:15:00.000000', u'DEN', u'LAC', -5.0)
('2011-01-02T21:15:00.000000', u'GB', u'CHI', 7.0)
('2011-01-02T21:15:00.000000', u'HOU', u'JAC', 17.0)
('2011-01-02T21:15:00.000000', u'IND', u'TEN', 3.0)
('2011-01-02T21:15:00.000000', u'PHI', u'DAL', -1.0)
('2011-01-02T21:15:00.000000', u'SF', u'ARI', 31.0)
('2011-01-02T21:15:00.000000', u'WAS', u'NYG', -3.0)
('2011-01-03T01:20:00.000000', u'SEA', u'LAR', 10.0)
('2011-09-09T00:30:00.000000', u'GB', u'NO', 8.0)
('2011-09-11T17:00:00.000000', u'BAL', u'PIT', 28.0)
('2011-09-11T17:00:00.000000', u'CHI', u'ATL', 18.0)
('2011-09-11T17:00:00.000000', u'CLE', u'CIN', -10.0)
('2011-09-11T17:00:00.000000', u'HOU', u'IND', 27.0)
('2011-09-11T17:00:00.000000', u'JAC', u'TEN', 2.0)
('2011-09-11T17:00:00.000000', u'KC', u'BUF', -34.0)
('2011-09-11T17:00:00.000000', u'LAR', u'PHI', -18.0)
('2011-09-11T17:00:00.000000', u'TB', u'DET', -7.0)
('2011-09-11T20:15:00.000000', u'ARI', u'CAR', 7.0)
('2011-09-11T20:15:00.000000', u'LAC', u'MIN', 7.0)
('2011-09-11T20:15:00.000000', u'SF', u'SEA', 16.0)
('2011-09-11T20:15:00.000000', u'WAS', u'NYG', 14.0)
('2011-09-12T00:20:00.000000', u'NYJ', u'DAL', 3.0)
('2011-09-12T23:00:00.000000', u'MIA', u'NE', -14.0)
('2011-09-13T02:15:00.000000', u'DEN', u'OAK', -3.0)
('2011-09-18T17:00:00.000000', u'BUF', u'OAK', 3.0)
('2011-09-18T17:00:00.000000', u'CAR', u'GB', -7.0)
('2011-09-18T17:00:00.000000', u'DET', u'KC', 45.0)
('2011-09-18T17:00:00.000000', u'IND', u'CLE', -8.0)
('2011-09-18T17:00:00.000000', u'MIN', u'TB', -4.0)
('2011-09-18T17:00:00.000000', u'NO', u'CHI', 17.0)
('2011-09-18T17:00:00.000000', u'NYJ', u'JAC', 29.0)
('2011-09-18T17:00:00.000000', u'PIT', u'SEA', 24.0)
('2011-09-18T17:00:00.000000', u'TEN', u'BAL', 13.0)
('2011-09-18T17:00:00.000000', u'WAS', u'ARI', 1.0)
('2011-09-18T20:05:00.000000', u'SF', u'DAL', -3.0)
('2011-09-18T20:15:00.000000', u'DEN', u'CIN', 2.0)
('2011-09-18T20:15:00.000000', u'MIA', u'HOU', -10.0)
('2011-09-18T20:15:00.000000', u'NE', u'LAC', 14.0)
('2011-09-19T00:20:00.000000', u'ATL', u'PHI', 4.0)
('2011-09-20T00:30:00.000000', u'NYG', u'LAR', 12.0)
('2011-09-25T17:00:00.000000', u'BUF', u'NE', 3.0)
('2011-09-25T17:00:00.000000', u'CAR', u'JAC', 6.0)
('2011-09-25T17:00:00.000000', u'CIN', u'SF', -5.0)
('2011-09-25T17:00:00.000000', u'CLE', u'MIA', 1.0)
('2011-09-25T17:00:00.000000', u'MIN', u'DET', -3.0)
('2011-09-25T17:00:00.000000', u'NO', u'HOU', 7.0)
('2011-09-25T17:00:00.000000', u'PHI', u'NYG', -13.0)
('2011-09-25T17:00:00.000000', u'TEN', u'DEN', 3.0)
('2011-09-25T20:05:00.000000', u'LAC', u'KC', 3.0)
('2011-09-25T20:05:00.000000', u'LAR', u'BAL', -30.0)
('2011-09-25T20:05:00.000000', u'OAK', u'NYJ', 10.0)
('2011-09-25T20:15:00.000000', u'CHI', u'GB', -10.0)
('2011-09-25T20:15:00.000000', u'SEA', u'ARI', 3.0)
('2011-09-25T20:15:00.000000', u'TB', u'ATL', 3.0)
('2011-09-26T00:20:00.000000', u'IND', u'PIT', -3.0)
('2011-09-27T00:30:00.000000', u'DAL', u'WAS', 2.0)
('2011-10-02T17:00:00.000000', u'CHI', u'CAR', 5.0)
('2011-10-02T17:00:00.000000', u'CIN', u'BUF', 3.0)
('2011-10-02T17:00:00.000000', u'CLE', u'TEN', -18.0)
('2011-10-02T17:00:00.000000', u'DAL', u'DET', -4.0)
('2011-10-02T17:00:00.000000', u'HOU', u'PIT', 7.0)
('2011-10-02T17:00:00.000000', u'JAC', u'NO', -13.0)
('2011-10-02T17:00:00.000000', u'KC', u'MIN', 5.0)
('2011-10-02T17:00:00.000000', u'LAR', u'WAS', -7.0)
('2011-10-02T17:00:00.000000', u'PHI', u'SF', -1.0)
('2011-10-02T20:05:00.000000', u'ARI', u'NYG', -4.0)
('2011-10-02T20:05:00.000000', u'SEA', u'ATL', -2.0)
('2011-10-02T20:15:00.000000', u'GB', u'DEN', 26.0)
('2011-10-02T20:15:00.000000', u'LAC', u'MIA', 10.0)
('2011-10-02T20:15:00.000000', u'OAK', u'NE', -12.0)
('2011-10-03T00:20:00.000000', u'BAL', u'NYJ', 17.0)
('2011-10-04T00:30:00.000000', u'TB', u'IND', 7.0)
('2011-10-09T17:00:00.000000', u'BUF', u'PHI', 7.0)
('2011-10-09T17:00:00.000000', u'CAR', u'NO', -3.0)
('2011-10-09T17:00:00.000000', u'HOU', u'OAK', -5.0)
('2011-10-09T17:00:00.000000', u'IND', u'KC', -4.0)
('2011-10-09T17:00:00.000000', u'JAC', u'CIN', -10.0)
('2011-10-09T17:00:00.000000', u'MIN', u'ARI', 24.0)
('2011-10-09T17:00:00.000000', u'NYG', u'SEA', -11.0)
('2011-10-09T17:00:00.000000', u'PIT', u'TEN', 21.0)
('2011-10-09T20:05:00.000000', u'SF', u'TB', 45.0)
('2011-10-09T20:15:00.000000', u'DEN', u'LAC', -5.0)
('2011-10-09T20:15:00.000000', u'NE', u'NYJ', 9.0)
('2011-10-10T00:20:00.000000', u'ATL', u'GB', -11.0)
('2011-10-11T00:30:00.000000', u'DET', u'CHI', 11.0)
('2011-10-16T17:00:00.000000', u'ATL', u'CAR', 14.0)
('2011-10-16T17:00:00.000000', u'CIN', u'IND', 10.0)
('2011-10-16T17:00:00.000000', u'DET', u'SF', -6.0)
('2011-10-16T17:00:00.000000', u'GB', u'LAR', 21.0)
('2011-10-16T17:00:00.000000', u'NYG', u'BUF', 3.0)
('2011-10-16T17:00:00.000000', u'PIT', u'JAC', 4.0)
('2011-10-16T17:00:00.000000', u'WAS', u'PHI', -7.0)
('2011-10-16T20:05:00.000000', u'BAL', u'HOU', 15.0)
('2011-10-16T20:05:00.000000', u'OAK', u'CLE', 7.0)
('2011-10-16T20:15:00.000000', u'NE', u'DAL', 4.0)
('2011-10-16T20:15:00.000000', u'TB', u'NO', 6.0)
('2011-10-17T00:20:00.000000', u'CHI', u'MIN', 29.0)
('2011-10-18T00:30:00.000000', u'NYJ', u'MIA', 18.0)
('2011-10-23T17:00:00.000000', u'CAR', u'WAS', 13.0)
('2011-10-23T17:00:00.000000', u'CLE', u'SEA', 3.0)
('2011-10-23T17:00:00.000000', u'DET', u'ATL', -7.0)
('2011-10-23T17:00:00.000000', u'MIA', u'DEN', -3.0)
('2011-10-23T17:00:00.000000', u'NYJ', u'LAC', 6.0)
('2011-10-23T17:00:00.000000', u'TB', u'CHI', -6.0)
('2011-10-23T17:00:00.000000', u'TEN', u'HOU', -34.0)
('2011-10-23T20:05:00.000000', u'ARI', u'PIT', -12.0)
('2011-10-23T20:05:00.000000', u'OAK', u'KC', -28.0)
('2011-10-23T20:15:00.000000', u'DAL', u'LAR', 27.0)
('2011-10-23T20:15:00.000000', u'MIN', u'GB', -6.0)
('2011-10-24T00:20:00.000000', u'NO', u'IND', 55.0)
('2011-10-25T00:30:00.000000', u'JAC', u'BAL', 5.0)
('2011-10-30T17:00:00.000000', u'BAL', u'ARI', 3.0)
('2011-10-30T17:00:00.000000', u'CAR', u'MIN', -3.0)
('2011-10-30T17:00:00.000000', u'HOU', u'JAC', 10.0)
('2011-10-30T17:00:00.000000', u'LAR', u'NO', 10.0)
('2011-10-30T17:00:00.000000', u'NYG', u'MIA', 3.0)
('2011-10-30T17:00:00.000000', u'TEN', u'IND', 17.0)
('2011-10-30T20:05:00.000000', u'BUF', u'WAS', 23.0)
('2011-10-30T20:05:00.000000', u'DEN', u'DET', -35.0)
('2011-10-30T20:15:00.000000', u'PIT', u'NE', 8.0)
('2011-10-30T20:15:00.000000', u'SEA', u'CIN', -22.0)
('2011-10-30T20:15:00.000000', u'SF', u'CLE', 10.0)
('2011-10-31T00:20:00.000000', u'PHI', u'DAL', 27.0)
('2011-11-01T00:30:00.000000', u'KC', u'LAC', 3.0)
('2011-11-06T18:00:00.000000', u'BUF', u'NYJ', -16.0)
('2011-11-06T18:00:00.000000', u'DAL', u'SEA', 10.0)
('2011-11-06T18:00:00.000000', u'HOU', u'CLE', 18.0)
('2011-11-06T18:00:00.000000', u'IND', u'ATL', -24.0)
('2011-11-06T18:00:00.000000', u'KC', u'MIA', -28.0)
('2011-11-06T18:00:00.000000', u'NO', u'TB', 11.0)
('2011-11-06T18:00:00.000000', u'WAS', u'SF', -8.0)
('2011-11-06T21:05:00.000000', u'OAK', u'DEN', -14.0)
('2011-11-06T21:05:00.000000', u'TEN', u'CIN', -7.0)
('2011-11-06T21:15:00.000000', u'ARI', u'LAR', 6.0)
('2011-11-06T21:15:00.000000', u'LAC', u'GB', -7.0)
('2011-11-06T21:15:00.000000', u'NE', u'NYG', -4.0)
('2011-11-07T01:20:00.000000', u'PIT', u'BAL', -3.0)
('2011-11-08T01:30:00.000000', u'PHI', u'CHI', -6.0)
('2011-11-11T01:20:00.000000', u'LAC', u'OAK', -7.0)
('2011-11-13T18:00:00.000000', u'ATL', u'NO', -3.0)
('2011-11-13T18:00:00.000000', u'CAR', u'TEN', -27.0)
('2011-11-13T18:00:00.000000', u'CIN', u'PIT', -7.0)
('2011-11-13T18:00:00.000000', u'CLE', u'LAR', -1.0)
('2011-11-13T18:00:00.000000', u'DAL', u'BUF', 37.0)
('2011-11-13T18:00:00.000000', u'IND', u'JAC', -14.0)
('2011-11-13T18:00:00.000000', u'KC', u'DEN', -7.0)
('2011-11-13T18:00:00.000000', u'MIA', u'WAS', 11.0)
('2011-11-13T18:00:00.000000', u'PHI', u'ARI', -4.0)
('2011-11-13T18:00:00.000000', u'TB', u'HOU', -28.0)
('2011-11-13T21:05:00.000000', u'SEA', u'BAL', 5.0)
('2011-11-13T21:15:00.000000', u'CHI', u'DET', 24.0)
('2011-11-13T21:15:00.000000', u'SF', u'NYG', 7.0)
('2011-11-14T01:20:00.000000', u'NYJ', u'NE', -21.0)
('2011-11-15T01:30:00.000000', u'GB', u'MIN', 38.0)
('2011-11-18T01:20:00.000000', u'DEN', u'NYJ', 4.0)
('2011-11-20T18:00:00.000000', u'BAL', u'CIN', 7.0)
('2011-11-20T18:00:00.000000', u'CLE', u'JAC', 4.0)
('2011-11-20T18:00:00.000000', u'DET', u'CAR', 14.0)
('2011-11-20T18:00:00.000000', u'GB', u'TB', 9.0)
('2011-11-20T18:00:00.000000', u'MIA', u'BUF', 27.0)
('2011-11-20T18:00:00.000000', u'MIN', u'OAK', -6.0)
('2011-11-20T18:00:00.000000', u'WAS', u'DAL', -3.0)
('2011-11-20T21:05:00.000000', u'LAR', u'SEA', -17.0)
('2011-11-20T21:05:00.000000', u'SF', u'ARI', 16.0)
('2011-11-20T21:15:00.000000', u'ATL', u'TEN', 6.0)
('2011-11-20T21:15:00.000000', u'CHI', u'LAC', 11.0)
('2011-11-21T01:20:00.000000', u'NYG', u'PHI', -7.0)
('2011-11-22T01:30:00.000000', u'NE', u'KC', 31.0)
('2011-11-24T17:30:00.000000', u'DET', u'GB', -12.0)
('2011-11-24T21:15:00.000000', u'DAL', u'MIA', 1.0)
('2011-11-25T01:20:00.000000', u'BAL', u'SF', 10.0)
('2011-11-27T18:00:00.000000', u'ATL', u'MIN', 10.0)
('2011-11-27T18:00:00.000000', u'CIN', u'CLE', 3.0)
('2011-11-27T18:00:00.000000', u'IND', u'CAR', -8.0)
('2011-11-27T18:00:00.000000', u'JAC', u'HOU', -7.0)
('2011-11-27T18:00:00.000000', u'LAR', u'ARI', -3.0)
('2011-11-27T18:00:00.000000', u'NYJ', u'BUF', 4.0)
('2011-11-27T18:00:00.000000', u'TEN', u'TB', 6.0)
('2011-11-27T21:05:00.000000', u'OAK', u'CHI', 5.0)
('2011-11-27T21:05:00.000000', u'SEA', u'WAS', -6.0)
('2011-11-27T21:15:00.000000', u'LAC', u'DEN', -3.0)
('2011-11-27T21:15:00.000000', u'PHI', u'NE', -18.0)
('2011-11-28T01:20:00.000000', u'KC', u'PIT', -4.0)
('2011-11-29T01:30:00.000000', u'NO', u'NYG', 25.0)
('2011-12-02T01:20:00.000000', u'SEA', u'PHI', 17.0)
('2011-12-04T18:00:00.000000', u'BUF', u'TEN', -6.0)
('2011-12-04T18:00:00.000000', u'CHI', u'KC', -7.0)
('2011-12-04T18:00:00.000000', u'HOU', u'ATL', 7.0)
('2011-12-04T18:00:00.000000', u'MIA', u'OAK', 20.0)
('2011-12-04T18:00:00.000000', u'MIN', u'DEN', -3.0)
('2011-12-04T18:00:00.000000', u'NE', u'IND', 7.0)
('2011-12-04T18:00:00.000000', u'PIT', u'CIN', 28.0)
('2011-12-04T18:00:00.000000', u'TB', u'CAR', -19.0)
('2011-12-04T18:00:00.000000', u'WAS', u'NYJ', -15.0)
('2011-12-04T21:05:00.000000', u'CLE', u'BAL', -14.0)
('2011-12-04T21:15:00.000000', u'ARI', u'DAL', 6.0)
('2011-12-04T21:15:00.000000', u'NYG', u'GB', -3.0)
('2011-12-04T21:15:00.000000', u'SF', u'LAR', 26.0)
('2011-12-05T01:20:00.000000', u'NO', u'DET', 14.0)
('2011-12-06T01:30:00.000000', u'JAC', u'LAC', -24.0)
('2011-12-09T01:20:00.000000', u'PIT', u'CLE', 11.0)
('2011-12-11T18:00:00.000000', u'BAL', u'IND', 14.0)
('2011-12-11T18:00:00.000000', u'CAR', u'ATL', -8.0)
('2011-12-11T18:00:00.000000', u'CIN', u'HOU', -1.0)
('2011-12-11T18:00:00.000000', u'DET', u'MIN', 6.0)
('2011-12-11T18:00:00.000000', u'JAC', u'TB', 27.0)
('2011-12-11T18:00:00.000000', u'MIA', u'PHI', -16.0)
('2011-12-11T18:00:00.000000', u'NYJ', u'KC', 27.0)
('2011-12-11T18:00:00.000000', u'TEN', u'NO', -5.0)
('2011-12-11T18:00:00.000000', u'WAS', u'NE', -7.0)
('2011-12-11T21:05:00.000000', u'ARI', u'SF', 2.0)
('2011-12-11T21:05:00.000000', u'DEN', u'CHI', 3.0)
('2011-12-11T21:15:00.000000', u'GB', u'OAK', 30.0)
('2011-12-11T21:15:00.000000', u'LAC', u'BUF', 27.0)
('2011-12-12T01:20:00.000000', u'DAL', u'NYG', -3.0)
('2011-12-13T01:30:00.000000', u'SEA', u'LAR', 17.0)
('2011-12-16T01:20:00.000000', u'ATL', u'JAC', 27.0)
('2011-12-18T01:20:00.000000', u'TB', u'DAL', -16.0)
('2011-12-18T18:00:00.000000', u'BUF', u'MIA', -7.0)
('2011-12-18T18:00:00.000000', u'CHI', u'SEA', -24.0)
('2011-12-18T18:00:00.000000', u'HOU', u'CAR', -15.0)
('2011-12-18T18:00:00.000000', u'IND', u'TEN', 14.0)
('2011-12-18T18:00:00.000000', u'KC', u'GB', 5.0)
('2011-12-18T18:00:00.000000', u'LAR', u'CIN', -7.0)
('2011-12-18T18:00:00.000000', u'MIN', u'NO', -22.0)
('2011-12-18T18:00:00.000000', u'NYG', u'WAS', -13.0)
('2011-12-18T21:05:00.000000', u'OAK', u'DET', -1.0)
('2011-12-18T21:15:00.000000', u'ARI', u'CLE', 3.0)
('2011-12-18T21:15:00.000000', u'DEN', u'NE', -18.0)
('2011-12-18T21:15:00.000000', u'PHI', u'NYJ', 26.0)
('2011-12-19T01:20:00.000000', u'LAC', u'BAL', 20.0)
('2011-12-20T01:30:00.000000', u'SF', u'PIT', 17.0)
('2011-12-23T01:20:00.000000', u'IND', u'HOU', 3.0)
('2011-12-24T18:00:00.000000', u'BAL', u'CLE', 6.0)
('2011-12-24T18:00:00.000000', u'BUF', u'DEN', 26.0)
('2011-12-24T18:00:00.000000', u'CAR', u'TB', 32.0)
('2011-12-24T18:00:00.000000', u'CIN', u'ARI', 7.0)
('2011-12-24T18:00:00.000000', u'KC', u'OAK', -3.0)
('2011-12-24T18:00:00.000000', u'NE', u'MIA', 3.0)
('2011-12-24T18:00:00.000000', u'NYJ', u'NYG', -15.0)
('2011-12-24T18:00:00.000000', u'PIT', u'LAR', 27.0)
('2011-12-24T18:00:00.000000', u'TEN', u'JAC', 6.0)
('2011-12-24T18:00:00.000000', u'WAS', u'MIN', -7.0)
('2011-12-24T21:05:00.000000', u'DET', u'LAC', 28.0)
('2011-12-24T21:15:00.000000', u'DAL', u'PHI', -13.0)
('2011-12-24T21:15:00.000000', u'SEA', u'SF', -2.0)
('2011-12-26T01:20:00.000000', u'GB', u'CHI', 14.0)
('2011-12-27T01:30:00.000000', u'NO', u'ATL', 29.0)
('2012-01-01T18:00:00.000000', u'GB', u'DET', 4.0)
('2012-01-01T18:00:00.000000', u'HOU', u'TEN', -1.0)
('2012-01-01T18:00:00.000000', u'JAC', u'IND', 6.0)
('2012-01-01T18:00:00.000000', u'LAR', u'SF', -7.0)
('2012-01-01T18:00:00.000000', u'MIA', u'NYJ', 2.0)
('2012-01-01T18:00:00.000000', u'MIN', u'CHI', -4.0)
('2012-01-01T18:00:00.000000', u'NE', u'BUF', 28.0)
('2012-01-01T18:00:00.000000', u'NO', u'CAR', 28.0)
('2012-01-01T18:00:00.000000', u'PHI', u'WAS', 24.0)
('2012-01-01T21:15:00.000000', u'ARI', u'SEA', 3.0)
('2012-01-01T21:15:00.000000', u'ATL', u'TB', 21.0)
('2012-01-01T21:15:00.000000', u'CIN', u'BAL', -8.0)
('2012-01-01T21:15:00.000000', u'CLE', u'PIT', -4.0)
('2012-01-01T21:15:00.000000', u'DEN', u'KC', -4.0)
('2012-01-01T21:15:00.000000', u'OAK', u'LAC', -12.0)
('2012-01-02T01:20:00.000000', u'NYG', u'DAL', 17.0)
('2012-09-06T00:30:00.000000', u'NYG', u'DAL', -7.0)
('2012-09-09T17:00:00.000000', u'CHI', u'IND', 20.0)
('2012-09-09T17:00:00.000000', u'CLE', u'PHI', -1.0)
('2012-09-09T17:00:00.000000', u'DET', u'LAR', 4.0)
('2012-09-09T17:00:00.000000', u'HOU', u'MIA', 20.0)
('2012-09-09T17:00:00.000000', u'KC', u'ATL', -16.0)
('2012-09-09T17:00:00.000000', u'MIN', u'JAC', 3.0)
('2012-09-09T17:00:00.000000', u'NO', u'WAS', -8.0)
('2012-09-09T17:00:00.000000', u'NYJ', u'BUF', 20.0)
('2012-09-09T17:00:00.000000', u'TEN', u'NE', -21.0)
('2012-09-09T20:25:00.000000', u'ARI', u'SEA', 4.0)
('2012-09-09T20:25:00.000000', u'GB', u'SF', -8.0)
('2012-09-09T20:25:00.000000', u'TB', u'CAR', 6.0)
('2012-09-10T00:20:00.000000', u'DEN', u'PIT', 12.0)
('2012-09-10T23:00:00.000000', u'BAL', u'CIN', 31.0)
('2012-09-11T02:15:00.000000', u'OAK', u'LAC', -8.0)
('2012-09-14T00:20:00.000000', u'GB', u'CHI', 13.0)
('2012-09-16T17:00:00.000000', u'BUF', u'KC', 18.0)
('2012-09-16T17:00:00.000000', u'CAR', u'NO', 8.0)
('2012-09-16T17:00:00.000000', u'CIN', u'CLE', 7.0)
('2012-09-16T17:00:00.000000', u'IND', u'MIN', 3.0)
('2012-09-16T17:00:00.000000', u'JAC', u'HOU', -20.0)
('2012-09-16T17:00:00.000000', u'MIA', u'OAK', 22.0)
('2012-09-16T17:00:00.000000', u'NE', u'ARI', -2.0)
('2012-09-16T17:00:00.000000', u'NYG', u'TB', 7.0)
('2012-09-16T17:00:00.000000', u'PHI', u'BAL', 1.0)
('2012-09-16T20:05:00.000000', u'LAR', u'WAS', 3.0)
('2012-09-16T20:05:00.000000', u'SEA', u'DAL', 20.0)
('2012-09-16T20:25:00.000000', u'LAC', u'TEN', 28.0)
('2012-09-16T20:25:00.000000', u'PIT', u'NYJ', 17.0)
('2012-09-17T00:20:00.000000', u'SF', u'DET', 8.0)
('2012-09-18T00:30:00.000000', u'ATL', u'DEN', 6.0)
('2012-09-21T00:20:00.000000', u'CAR', u'NYG', -29.0)
('2012-09-23T17:00:00.000000', u'CHI', u'LAR', 17.0)
('2012-09-23T17:00:00.000000', u'CLE', u'BUF', -10.0)
('2012-09-23T17:00:00.000000', u'DAL', u'TB', 6.0)
('2012-09-23T17:00:00.000000', u'IND', u'JAC', -5.0)
('2012-09-23T17:00:00.000000', u'MIA', u'NYJ', -3.0)
('2012-09-23T17:00:00.000000', u'MIN', u'SF', 11.0)
