# date, home, score, away, score
2011-12-25 GB  35 CHI 21
2011-12-26 NO  45 ATL 16
2012-01-01 MIA 19 NYJ 17
2012-01-01 NE  49 BUF 21
2012-01-01 HOU 22 TEN 23
2012-01-01 JAC 19 IND 13
2012-01-01 PHI 34 WAS 10
2012-01-01 GB  45 DET 41
2012-01-01 MIN 13 CHI 17
2012-01-01 NO  45 CAR 17
2012-01-01 LAR 27 SF  34
2012-01-01 CIN 16 BAL 24
2012-01-01 CLE  9 PIT 13
2012-01-01 ATL 45 TB  24
2012-01-01 DEN  3 KC   7
2012-01-01 OAK 26 LAC 38
2012-01-01 ARI 23 SEA 20
2012-01-01 NYG 31 DAL 14
2012-09-05 NYG 17 DAL 24
2012-09-09 CHI 41 IND 21
2012-09-09 MIN 26 JAC 23
2012-09-09 NYJ 48 BUF 28
2012-09-09 HOU 30 MIA 10
2012-09-09 TEN 13 NE  34
2012-09-09 DET 27 LAR 23
2012-09-09 NO  32 WAS 40
2012-09-09 CLE 16 PHI 17
2012-09-09 KC  24 ATL 40
2012-09-09 GB  22 SF  30
2012-09-09 ARI 20 SEA 16
2012-09-09 TB  16 CAR 10
2012-09-09 DEN 31 PIT 19
2012-09-10 BAL 44 CIN 13
2012-09-10 OAK 14 LAC 22
2012-09-13 GB  23 CHI 10
2012-09-16 NYG 41 TB  34
2012-09-16 CAR 35 NO  27
2012-09-16 NE  18 ARI 20
2012-09-16 IND 23 MIN 20
2012-09-16 PHI 24 BAL 23
2012-09-16 BUF 35 KC  17
2012-09-16 CIN 34 CLE 27
2012-09-16 JAC  7 HOU 27
2012-09-16 MIA 35 OAK 13
2012-09-16 SEA 27 DAL  7
2012-09-16 LAR 31 WAS 28
2012-09-16 PIT 27 NYJ 10
2012-09-16 LAC 38 TEN 10
2012-09-16 SF  27 DET 19
2012-09-17 ATL 27 DEN 21
2012-09-20 CAR  7 NYG 36
2012-09-23 DAL 16 TB  10
2012-09-23 CHI 23 LAR  6
2012-09-23 MIN 24 SF  13
2012-09-23 TEN 44 DET 41
2012-09-23 WAS 31 CIN 38
2012-09-23 NO  24 KC  27
2012-09-23 MIA 20 NYJ 23
2012-09-23 CLE 14 BUF 24
2012-09-23 IND 17 JAC 22
2012-09-23 ARI 27 PHI  6
2012-09-23 LAC  3 ATL 27
2012-09-23 DEN 25 HOU 31
2012-09-23 OAK 34 PIT 31
2012-09-23 BAL 31 NE  30
2012-09-24 SEA 14 GB  12
2012-09-27 BAL 23 CLE 16
2012-09-30 BUF 28 NE  52
2012-09-30 HOU 38 TEN 14
2012-09-30 KC  20 LAC 37
2012-09-30 DET 13 MIN 20
2012-09-30 ATL 30 CAR 28
2012-09-30 LAR 19 SEA 13
2012-09-30 NYJ  0 SF  34
2012-09-30 ARI 24 MIA 21
2012-09-30 DEN 37 OAK  6
2012-09-30 JAC 10 CIN 27
2012-09-30 GB  28 NO  27
2012-09-30 TB  22 WAS 24
2012-09-30 PHI 19 NYG 17
2012-10-01 DAL 18 CHI 34
2012-10-04 LAR 17 ARI  3
2012-10-07 WAS 17 ATL 24
2012-10-07 PIT 16 PHI 14
2012-10-07 IND 30 GB  27
2012-10-07 NYG 41 CLE 27
2012-10-07 CIN 13 MIA 17
2012-10-07 KC   6 BAL  9
2012-10-07 CAR 12 SEA 16
2012-10-07 JAC  3 CHI 41
2012-10-07 MIN 30 TEN  7
2012-10-07 NE  31 DEN 21
2012-10-07 SF  45 BUF  3
2012-10-07 NO  31 LAC 24
2012-10-08 NYJ 17 HOU 23
2012-10-11 TEN 26 PIT 23
2012-10-14 ATL 23 OAK 20
2012-10-14 TB  38 KC  10
2012-10-14 NYJ 35 IND  9
2012-10-14 CLE 34 CIN 24
2012-10-14 PHI 23 DET 26
2012-10-14 MIA 17 LAR 14
2012-10-14 BAL 31 DAL 29
2012-10-14 ARI 16 BUF 19
2012-10-14 SEA 24 NE  23
2012-10-14 SF   3 NYG 26
2012-10-14 WAS 38 MIN 26
2012-10-14 HOU 24 GB  42
2012-10-15 LAC 24 DEN 35
2012-10-18 SF  13 SEA  6
2012-10-21 NYG 27 WAS 23
2012-10-21 MIN 21 ARI 14
2012-10-21 CAR 14 DAL 19
2012-10-21 TB  28 NO  35
2012-10-21 LAR 20 GB  30
2012-10-21 HOU 43 BAL 13
2012-10-21 IND 17 CLE 13
2012-10-21 BUF 34 TEN 35
2012-10-21 NE  29 NYJ 26
2012-10-21 OAK 26 JAC 23
2012-10-21 CIN 17 PIT 24
2012-10-22 CHI 13 DET  7
2012-10-25 MIN 17 TB  36
2012-10-28 GB  24 JAC 15
2012-10-28 NYJ  9 MIA 30
2012-10-28 CLE  7 LAC  6
2012-10-28 TEN 13 IND 19
2012-10-28 LAR  7 NE  45
2012-10-28 PHI 17 ATL 30
2012-10-28 CHI 23 CAR 22
2012-10-28 DET 28 SEA 24
2012-10-28 PIT 27 WAS 12
2012-10-28 KC  16 OAK 26
2012-10-28 DAL 24 NYG 29
2012-10-28 DEN 34 NO  14
2012-10-29 ARI  3 SF  24
2012-11-01 LAC 31 KC  13
2012-11-04 WAS 13 CAR 21
2012-11-04 GB  31 ARI 17
2012-11-04 JAC 14 DET 31
2012-11-04 TEN 20 CHI 51
2012-11-04 CIN 23 DEN 31
2012-11-04 CLE 15 BAL 25
2012-11-04 HOU 21 BUF  9
2012-11-04 IND 23 MIA 20
2012-11-04 SEA 30 MIN 20
2012-11-04 OAK 32 TB  42
2012-11-04 NYG 20 PIT 24
2012-11-04 ATL 19 DAL 13
2012-11-05 NO  28 PHI 13
2012-11-08 JAC 10 IND 27
2012-11-11 CAR 14 DEN 36
2012-11-11 TB  34 LAC 24
2012-11-11 MIA  3 TEN 37
2012-11-11 NE  37 BUF 31
2012-11-11 BAL 55 OAK 20
2012-11-11 CIN 31 NYG 13
2012-11-11 NO  31 ATL 27
2012-11-11 MIN 34 DET 24
2012-11-11 SEA 28 NYJ  7
2012-11-11 PHI 23 DAL 38
2012-11-11 SF  24 LAR 24
2012-11-11 CHI  6 HOU 13
2012-11-12 PIT 16 KC  13
2012-11-15 BUF 19 MIA 14
2012-11-18 WAS 31 PHI  6
2012-11-18 DET 20 GB  24
2012-11-18 ATL 23 ARI 19
2012-11-18 CAR 21 TB  27
2012-11-18 DAL 23 CLE 20
2012-11-18 LAR 13 NYJ 27
2012-11-18 HOU 43 JAC 37
2012-11-18 KC   6 CIN 28
2012-11-18 OAK 17 NO  38
2012-11-18 NE  59 IND 24
2012-11-18 DEN 30 LAC 23
2012-11-18 PIT 10 BAL 13
2012-11-19 SF  32 CHI  7
2012-11-22 DET 31 HOU 34
2012-11-22 DAL 31 WAS 38
2012-11-22 NYJ 19 NE  49
2012-11-25 CIN 34 OAK 10
2012-11-25 CLE 20 PIT 14
2012-11-25 IND 20 BUF 13
2012-11-25 JAC 24 TEN 19
2012-11-25 KC   9 DEN 17
2012-11-25 CHI 28 MIN 10
2012-11-25 TB  23 ATL 24
2012-11-25 MIA 24 SEA 21
2012-11-25 LAC 13 BAL 16
2012-11-25 NO  21 SF  31
2012-11-25 ARI 17 LAR 31
2012-11-25 NYG 38 GB  10
2012-11-26 PHI 22 CAR 30
2012-11-29 ATL 23 NO  13
2012-12-02 CHI 17 SEA 23
2012-12-02 GB  23 MIN 14
2012-12-02 LAR 16 SF  13
2012-12-02 NYJ  7 ARI  6
2012-12-02 KC  27 CAR 21
2012-12-02 DET 33 IND 35
2012-12-02 BUF 34 JAC 18
2012-12-02 MIA 16 NE  23
2012-12-02 TEN 10 HOU 24
2012-12-02 DEN 31 TB  23
2012-12-02 BAL 20 PIT 23
2012-12-02 OAK 17 CLE 20
2012-12-02 LAC 13 CIN 20
2012-12-02 DAL 38 PHI 33
2012-12-03 WAS 17 NYG 16
2012-12-06 OAK 13 DEN 26
2012-12-09 WAS 31 BAL 28
2012-12-09 CLE 30 KC   7
2012-12-09 PIT 24 LAC 34
2012-12-09 IND 27 TEN 23
2012-12-09 JAC 10 NYJ 17
2012-12-09 MIN 21 CHI 14
2012-12-09 CAR 30 ATL 20
2012-12-09 TB  21 PHI 23
2012-12-09 BUF 12 LAR 15
2012-12-09 CIN 19 DAL 20
2012-12-09 SF  27 MIA 13
2012-12-09 NYG 52 NO  27
2012-12-09 SEA 58 ARI  0
2012-12-09 GB  27 DET 20
2012-12-10 NE  42 HOU 14
2012-12-13 PHI 13 CIN 34
2012-12-16 CHI 13 GB  21
2012-12-16 ATL 34 NYG  0
2012-12-16 NO  41 TB   0
2012-12-16 LAR 22 MIN 36
2012-12-16 CLE 21 WAS 38
2012-12-16 MIA 24 JAC  3
2012-12-16 BAL 17 DEN 34
2012-12-16 HOU 29 IND 17
2012-12-16 ARI 38 DET 10
2012-12-16 LAC  7 CAR 31
2012-12-16 BUF 17 SEA 50
2012-12-16 DAL 27 PIT 24
2012-12-16 OAK 15 KC   0
2012-12-16 NE  34 SF  41
2012-12-17 TEN 14 NYJ 10
2012-12-22 DET 18 ATL 31
2012-12-23 GB  55 TEN  7
2012-12-23 CAR 17 OAK  6
2012-12-23 MIA 24 BUF 10
2012-12-23 PIT 10 CIN 13
2012-12-23 JAC 16 NE  23
2012-12-23 KC  13 IND 20
2012-12-23 DAL 31 NO  34
2012-12-23 PHI 20 WAS 27
2012-12-23 TB  13 LAR 28
2012-12-23 HOU  6 MIN 23
2012-12-23 NYJ 17 LAC 27
2012-12-23 DEN 34 CLE 12
2012-12-23 BAL 33 NYG 14
2012-12-23 ARI 13 CHI 28
2012-12-23 SEA 42 SF  13
2012-12-30 BUF 28 NYJ  9
2012-12-30 CIN 23 BAL 17
2012-12-30 PIT 24 CLE 10
2012-12-30 IND 28 HOU 16
2012-12-30 TEN 38 JAC 20
2012-12-30 NYG 42 PHI  7
2012-12-30 DET 24 CHI 26
2012-12-30 ATL 17 TB  22
2012-12-30 NO  38 CAR 44
2012-12-30 NE  28 MIA  0
2012-12-30 MIN 37 GB  34
2012-12-30 DEN 38 KC   3
2012-12-30 LAC 24 OAK 21
2012-12-30 SF  27 ARI 13
2012-12-30 SEA 20 LAR 13
2012-12-30 WAS 28 DAL 18
2013-09-05 DEN 49 BAL 27
2013-09-08 BUF 21 NE  23
2013-09-08 CAR  7 SEA 12
2013-09-08 CHI 24 CIN 21
2013-09-08 CLE 10 MIA 23
2013-09-08 DET 34 MIN 24
2013-09-08 IND 21 OAK 17
2013-09-08 JAC  2 KC  28
2013-09-08 NYJ 18 TB  17
2013-09-08 NO  23 ATL 17
2013-09-08 PIT  9 TEN 16
2013-09-08 LAR 27 ARI 24
2013-09-08 SF  34 GB  28
2013-09-08 DAL 36 NYG 31
2013-09-09 WAS 27 PHI 33
2013-09-09 LAC 28 HOU 31
2013-09-12 NE  13 NYJ 10
2013-09-15 ATL 31 LAR 24
2013-09-15 BAL 14 CLE  6
2013-09-15 BUF 24 CAR 23
2013-09-15 CHI 31 MIN 30
2013-09-15 GB  38 WAS 20
2013-09-15 HOU 30 TEN 24
2013-09-15 IND 20 MIA 24
2013-09-15 KC  17 DAL 16
2013-09-15 PHI 30 LAC 33
2013-09-15 ARI 25 DET 21
2013-09-15 TB  14 NO  16
2013-09-15 NYG 23 DEN 41
2013-09-15 OAK 19 JAC  9
2013-09-15 SEA 29 SF   3
2013-09-16 CIN 20 PIT 10
2013-09-19 PHI 16 KC  26
2013-09-22 BAL 30 HOU  9
2013-09-22 CIN 34 GB  30
2013-09-22 DAL 31 LAR  7
2013-09-22 MIN 27 CLE 31
2013-09-22 NE  23 TB   3
2013-09-22 NO  31 ARI  7
2013-09-22 TEN 20 LAC 17
2013-09-22 WAS 20 DET 27
2013-09-22 CAR 38 NYG  0
2013-09-22 MIA 27 ATL 23
2013-09-22 NYJ 27 BUF 20
2013-09-22 SF   7 IND 27
2013-09-22 SEA 45 JAC 17
2013-09-22 PIT 23 CHI 40
2013-09-23 DEN 37 OAK 21
2013-09-26 LAR 11 SF  35
2013-09-29 BUF 23 BAL 20
2013-09-29 CLE 17 CIN  6
2013-09-29 DET 40 CHI 32
2013-09-29 HOU 20 SEA 23
2013-09-29 JAC  3 IND 37
2013-09-29 KC  31 NYG  7
2013-09-29 MIN 34 PIT 27
2013-09-29 TB  10 ARI 13
2013-09-29 TEN 38 NYJ 13
2013-09-29 DEN 52 PHI 20
2013-09-29 OAK 14 WAS 24
2013-09-29 LAC 30 DAL 21
2013-09-29 ATL 23 NE  30
2013-09-30 NO  38 MIA 17
2013-10-03 CLE 37 BUF 24
2013-10-06 CHI 18 NO  26
2013-10-06 CIN 13 NE   6
2013-10-06 GB  22 DET  9
2013-10-06 IND 34 SEA 28
2013-10-06 MIA 23 BAL 26
2013-10-06 NYG 21 PHI 36
2013-10-06 LAR 34 JAC 20
2013-10-06 TEN 17 KC  26
2013-10-06 ARI 22 CAR  6
2013-10-06 DAL 48 DEN 51
2013-10-06 SF  34 HOU  3
2013-10-06 OAK 27 LAC 17
2013-10-07 ATL 28 NYJ 30
2013-10-10 CHI 27 NYG 21
2013-10-13 BAL 17 GB  19
2013-10-13 BUF 24 CIN 27
2013-10-13 CLE 17 DET 31
2013-10-13 HOU 13 LAR 38
2013-10-13 KC  24 OAK  7
2013-10-13 MIN 10 CAR 35
2013-10-13 NYJ  6 PIT 19
2013-10-13 TB  20 PHI 31
2013-10-13 DEN 35 JAC 19
2013-10-13 SEA 20 TEN 13
2013-10-13 NE  30 NO  27
2013-10-13 SF  32 ARI 20
2013-10-13 DAL 31 WAS 16
2013-10-14 LAC 19 IND  9
2013-10-17 ARI 22 SEA 34
2013-10-20 ATL 31 TB  23
2013-10-20 CAR 30 LAR 15
2013-10-20 DET 24 CIN 27
2013-10-20 JAC  6 LAC 24
2013-10-20 MIA 21 BUF 23
2013-10-20 NYJ 30 NE  27
2013-10-20 PHI  3 DAL 17
2013-10-20 WAS 45 CHI 41
2013-10-20 TEN 17 SF  31
2013-10-20 GB  31 CLE 13
2013-10-20 KC  17 HOU 16
2013-10-20 PIT 19 BAL 16
2013-10-20 IND 39 DEN 33
2013-10-21 NYG 23 MIN  7
2013-10-24 TB  13 CAR 31
2013-10-27 DET 31 DAL 30
2013-10-27 JAC 10 SF  42
2013-10-27 KC  23 CLE 17
2013-10-27 NE  27 MIA 17
2013-10-27 NO  35 BUF 17
2013-10-27 PHI  7 NYG 15
2013-10-27 OAK 21 PIT 18
2013-10-27 CIN 49 NYJ  9
2013-10-27 ARI 27 ATL 13
2013-10-27 DEN 45 WAS 21
2013-10-27 MIN 31 GB  44
2013-10-28 LAR  9 SEA 14
2013-10-31 MIA 22 CIN 20
2013-11-03 BUF 13 KC  23
2013-11-03 CAR 34 ATL 10
2013-11-03 DAL 27 MIN 23
2013-11-03 NYJ 26 NO  20
2013-11-03 LAR 21 TEN 28
2013-11-03 WAS 30 LAC 24
2013-11-03 OAK 20 PHI 49
2013-11-03 SEA 27 TB  24
2013-11-03 CLE 24 BAL 18
2013-11-03 NE  55 PIT 31
2013-11-03 HOU 24 IND 27
2013-11-04 GB  20 CHI 27
2013-11-07 MIN 34 WAS 27
2013-11-10 ATL 10 SEA 33
2013-11-10 BAL 20 CIN 17
2013-11-10 CHI 19 DET 21
2013-11-10 GB  13 PHI 27
2013-11-10 IND  8 LAR 38
2013-11-10 NYG 24 OAK 20
2013-11-10 PIT 23 BUF 10
2013-11-10 TEN 27 JAC 29
2013-11-10 SF   9 CAR 10
2013-11-10 ARI 27 HOU 24
2013-11-10 LAC 20 DEN 28
2013-11-10 NO  49 DAL 17
2013-11-11 TB  22 MIA 19
2013-11-14 TEN 27 IND 30
2013-11-17 BUF 37 NYJ 14
2013-11-17 CHI 23 BAL 20
2013-11-17 CIN 41 CLE 20
2013-11-17 HOU 23 OAK 28
2013-11-17 JAC 14 ARI 27
2013-11-17 PHI 24 WAS 16
2013-11-17 PIT 37 DET 27
2013-11-17 TB  41 ATL 28
2013-11-17 MIA 20 LAC 16
2013-11-17 NO  23 SF  20
2013-11-17 SEA 41 MIN 20
2013-11-17 NYG 27 GB  13
2013-11-17 DEN 27 KC  17
2013-11-18 CAR 24 NE  20
2013-11-21 ATL 13 NO  17
2013-11-24 BAL 19 NYJ  3
2013-11-24 CLE 11 PIT 27
2013-11-24 DET 21 TB  24
2013-11-24 GB  26 MIN 26
2013-11-24 HOU  6 JAC 13
2013-11-24 KC  38 LAC 41
2013-11-24 MIA 16 CAR 20
2013-11-24 LAR 42 CHI 21
2013-11-24 ARI 40 IND 11
2013-11-24 OAK 19 TEN 23
2013-11-24 NYG 21 DAL 24
2013-11-24 NE  34 DEN 31
2013-11-25 WAS  6 SF  27
2013-11-28 DET 40 GB  10
2013-11-28 DAL 31 OAK 24
2013-11-28 BAL 22 PIT 20
2013-12-01 CAR 27 TB   6
2013-12-01 CLE 28 JAC 32
2013-12-01 IND 22 TEN 14
2013-12-01 MIN 23 CHI 20
2013-12-01 NYJ  3 MIA 23
2013-12-01 PHI 24 ARI 21
2013-12-01 HOU 31 NE  34
2013-12-01 BUF 31 ATL 34
2013-12-01 SF  23 LAR 13
2013-12-01 KC  28 DEN 35
2013-12-01 LAC 10 CIN 17
2013-12-01 WAS 17 NYG 24
2013-12-02 SEA 34 NO   7
2013-12-05 JAC 27 HOU 20
2013-12-08 BAL 29 MIN 26
2013-12-08 CIN 42 IND 28
2013-12-08 NE  27 CLE 26
2013-12-08 NYJ 37 OAK 27
2013-12-08 PHI 34 DET 20
2013-12-08 PIT 28 MIA 34
2013-12-08 TB  27 BUF  6
2013-12-08 WAS 10 KC  45
2013-12-08 GB  22 ATL 21
2013-12-08 DEN 51 TEN 28
2013-12-08 ARI 30 LAR 10
2013-12-08 LAC 37 NYG 14
2013-12-08 SF  19 SEA 17
2013-12-08 NO  31 CAR 13
2013-12-09 CHI 45 DAL 28
2013-12-12 DEN 20 LAC 27
2013-12-15 ATL 27 WAS 26
2013-12-15 CLE 31 CHI 38
2013-12-15 IND 25 HOU  3
2013-12-15 JAC 20 BUF 27
2013-12-15 MIA 24 NE  20
2013-12-15 MIN 48 PHI 30
2013-12-15 NYG  0 SEA 23
2013-12-15 TB  14 SF  33
2013-12-15 CAR 30 NYJ 20
2013-12-15 OAK 31 KC  56
2013-12-15 LAR 27 NO  16
2013-12-15 TEN 34 ARI 37
2013-12-15 DAL 36 GB  37
2013-12-15 PIT 30 CIN 20
2013-12-16 DET 16 BAL 18
2013-12-22 BUF 19 MIA  0
2013-12-22 CAR 17 NO  13
2013-12-22 CIN 42 MIN 14
2013-12-22 HOU 13 DEN 37
2013-12-22 JAC 16 TEN 20
2013-12-22 KC   7 IND 23
2013-12-22 NYJ 24 CLE 13
2013-12-22 LAR 23 TB  13
2013-12-22 WAS 23 DAL 24
2013-12-22 DET 20 NYG 23
2013-12-22 SEA 10 ARI 17
2013-12-22 GB  31 PIT 38
2013-12-22 LAC 26 OAK 13
2013-12-22 BAL  7 NE  41
2013-12-22 PHI 54 CHI 11
2013-12-23 SF  34 ATL 24
2013-12-29 ATL 20 CAR 21
2013-12-29 CIN 34 BAL 17
2013-12-29 IND 30 JAC 10
2013-12-29 MIA  7 NYJ 20
2013-12-29 MIN 14 DET 13
2013-12-29 NYG 20 WAS  6
2013-12-29 PIT 20 CLE  7
2013-12-29 TEN 16 HOU 10
2013-12-29 CHI 28 GB  33
2013-12-29 NE  34 BUF 20
2013-12-29 NO  42 TB  17
2013-12-29 ARI 20 SF  23
2013-12-29 OAK 14 DEN 34
2013-12-29 LAC 27 KC  24
2013-12-29 SEA 27 LAR  9
2013-12-29 DAL 22 PHI 24
2014-09-04 SEA 36 GB  16
2014-09-07 ATL 37 NO  34
2014-09-07 BAL 16 CIN 23
2014-09-07 CHI 20 BUF 23
2014-09-07 HOU 17 WAS  6
2014-09-07 KC  10 TEN 26
2014-09-07 MIA 33 NE  20
2014-09-07 NYJ 19 OAK 14
2014-09-07 PHI 34 JAC 17
2014-09-07 PIT 30 CLE 27
2014-09-07 LAR  6 MIN 34
2014-09-07 DAL 17 SF  28
2014-09-07 TB  14 CAR 20
2014-09-07 DEN 31 IND 24
2014-09-08 DET 35 NYG 14
2014-09-08 ARI 18 LAC 17
2014-09-11 BAL 26 PIT  6
2014-09-14 BUF 29 MIA 10
2014-09-14 CAR 24 DET  7
2014-09-14 CIN 24 ATL 10
2014-09-14 CLE 26 NO  24
2014-09-14 MIN  7 NE  30
2014-09-14 NYG 14 ARI 25
2014-09-14 TEN 10 DAL 26
2014-09-14 WAS 41 JAC 10
2014-09-14 LAC 30 SEA 21
2014-09-14 TB  17 LAR 19
2014-09-14 DEN 24 KC  17
2014-09-14 GB  31 NYJ 24
2014-09-14 OAK 14 HOU 30
2014-09-14 SF  20 CHI 28
2014-09-15 IND 27 PHI 30
2014-09-18 ATL 56 TB  14
2014-09-21 BUF 10 LAC 22
2014-09-21 CIN 33 TEN  7
2014-09-21 CLE 21 BAL 23
2014-09-21 DET 19 GB   7
2014-09-21 JAC 17 IND 44
2014-09-21 NE  16 OAK  9
2014-09-21 NO  20 MIN  9
2014-09-21 NYG 30 HOU 17
2014-09-21 PHI 37 WAS 34
2014-09-21 LAR 31 DAL 34
2014-09-21 ARI 23 SF  14
2014-09-21 MIA 15 KC  34
2014-09-21 SEA 26 DEN 20
2014-09-21 CAR 19 PIT 37
2014-09-22 NYJ 19 CHI 27
2014-09-25 WAS 14 NYG 45
2014-09-28 BAL 38 CAR 10
2014-09-28 CHI 17 GB  38
2014-09-28 HOU 23 BUF 17
2014-09-28 IND 41 TEN 17
2014-09-28 NYJ 17 DET 24
2014-09-28 OAK 14 MIA 38
2014-09-28 PIT 24 TB  27
2014-09-28 LAC 33 JAC 14
2014-09-28 MIN 41 ATL 28
2014-09-28 SF  26 PHI 21
2014-09-28 DAL 38 NO  17
2014-09-29 KC  41 NE  14
2014-10-02 GB  42 MIN 10
2014-10-05 CAR 31 CHI 24
2014-10-05 DAL 20 HOU 17
2014-10-05 DET 14 BUF 17
2014-10-05 IND 20 BAL 13
2014-10-05 JAC  9 PIT 17
2014-10-05 NO  37 TB  31
2014-10-05 NYG 30 ATL 20
2014-10-05 PHI 34 LAR 28
2014-10-05 TEN 28 CLE 29
2014-10-05 DEN 41 ARI 20
2014-10-05 LAC 31 NYJ  0
2014-10-05 SF  22 KC  17
2014-10-05 NE  43 CIN 17
2014-10-06 WAS 17 SEA 27
2014-10-09 HOU 28 IND 33
2014-10-12 BUF 22 NE  37
2014-10-12 CIN 37 CAR 37
2014-10-12 CLE 31 PIT 10
2014-10-12 MIA 24 GB  27
2014-10-12 MIN  3 DET 17
2014-10-12 NYJ 17 DEN 31
2014-10-12 TB  17 BAL 48
2014-10-12 TEN 16 JAC 14
2014-10-12 OAK 28 LAC 31
2014-10-12 ATL 13 CHI 27
2014-10-12 ARI 30 WAS 20
2014-10-12 SEA 23 DAL 30
2014-10-12 PHI 27 NYG  0
2014-10-13 LAR 17 SF  31
2014-10-16 NE  27 NYJ 25
2014-10-19 BAL 29 ATL  7
2014-10-19 BUF 17 MIN 16
2014-10-19 CHI 14 MIA 27
2014-10-19 DET 24 NO  23
2014-10-19 GB  38 CAR 17
2014-10-19 IND 27 CIN  0
2014-10-19 JAC 24 CLE  6
2014-10-19 LAR 28 SEA 26
2014-10-19 WAS 19 TEN 17
2014-10-19 LAC 20 KC  23
2014-10-19 DAL 31 NYG 21
2014-10-19 OAK 13 ARI 24
2014-10-19 DEN 42 SF  17
2014-10-20 PIT 30 HOU 23
2014-10-23 DEN 35 LAC 21
2014-10-26 CAR  9 SEA 13
2014-10-26 CIN 27 BAL 24
2014-10-26 JAC 13 MIA 27
2014-10-26 KC  34 LAR  7
2014-10-26 NE  51 CHI 23
2014-10-26 NYJ 23 BUF 43
2014-10-26 TB  13 MIN 19
2014-10-26 TEN 16 HOU 30
2014-10-26 ARI 24 PHI 20
2014-10-26 CLE 23 OAK 13
2014-10-26 PIT 51 IND 34
2014-10-26 NO  44 GB  23
2014-10-26 ATL 21 DET 22
2014-10-27 DAL 17 WAS 20
2014-10-30 CAR 10 NO  28
2014-11-02 CIN 33 JAC 23
2014-11-02 CLE 22 TB  17
2014-11-02 DAL 17 ARI 28
2014-11-02 HOU 21 PHI 31
2014-11-02 KC  24 NYJ 10
2014-11-02 MIA 37 LAC  0
2014-11-02 MIN 29 WAS 26
2014-11-02 SF  10 LAR 13
2014-11-02 NE  43 DEN 21
2014-11-02 SEA 30 OAK 24
2014-11-02 PIT 43 BAL 23
2014-11-03 NYG 24 IND 40
2014-11-06 CIN  3 CLE 24
2014-11-09 BAL 21 TEN  7
2014-11-09 BUF 13 KC  17
2014-11-09 DET 20 MIA 16
2014-11-09 JAC 17 DAL 31
2014-11-09 NO  24 SF  27
2014-11-09 NYJ 20 PIT 13
2014-11-09 TB  17 ATL 27
2014-11-09 OAK 17 DEN 41
2014-11-09 ARI 31 LAR 14
2014-11-09 SEA 38 NYG 17
2014-11-09 GB  55 CHI 14
2014-11-10 PHI 45 CAR 21
2014-11-13 MIA 22 BUF  9
2014-11-16 CAR 17 ATL 19
2014-11-16 CHI 21 MIN 13
2014-11-16 CLE  7 HOU 23
2014-11-16 KC  24 SEA 20
2014-11-16 NO  10 CIN 27
2014-11-16 NYG 10 SF  16
2014-11-16 LAR 22 DEN  7
2014-11-16 WAS  7 TB  27
2014-11-16 LAC 13 OAK  6
2014-11-16 GB  53 PHI 20
2014-11-16 ARI 14 DET  6
2014-11-16 IND 20 NE  42
2014-11-17 TEN 24 PIT 27
2014-11-20 OAK 24 KC  20
2014-11-23 ATL 24 CLE 26
2014-11-23 CHI 21 TB  13
2014-11-23 HOU 13 CIN 22
2014-11-23 IND 23 JAC  3
2014-11-23 MIN 21 GB  24
2014-11-23 NE  34 DET  9
2014-11-23 PHI 43 TEN 24
2014-11-23 LAC 27 LAR 24
2014-11-23 SEA 19 ARI  3
2014-11-23 DEN 39 MIA 36
2014-11-23 SF  17 WAS 13
2014-11-23 BUF 38 NYJ  3
2014-11-23 NYG 28 DAL 31
2014-11-24 NO  27 BAL 34
2014-11-27 DET 34 CHI 17
2014-11-27 DAL 10 PHI 33
2014-11-27 SF   3 SEA 19
2014-11-30 BAL 33 LAC 34
2014-11-30 BUF 26 CLE 10
2014-11-30 HOU 45 TEN 21
2014-11-30 IND 49 WAS 27
2014-11-30 JAC 25 NYG 24
2014-11-30 MIN 31 CAR 13
2014-11-30 PIT 32 NO  35
2014-11-30 LAR 52 OAK  0
2014-11-30 TB  13 CIN 14
2014-11-30 ATL 29 ARI 18
2014-11-30 GB  26 NE  21
2014-11-30 KC  16 DEN 29
2014-12-01 NYJ 13 MIA 16
2014-12-04 CHI 28 DAL 41
2014-12-07 CIN 21 PIT 42
2014-12-07 CLE 24 IND 25
2014-12-07 DET 34 TB  17
2014-12-07 JAC 13 HOU 27
2014-12-07 MIA 13 BAL 28
2014-12-07 MIN 30 NYJ 24
2014-12-07 NO  10 CAR 41
2014-12-07 TEN  7 NYG 36
2014-12-07 WAS  0 LAR 24
2014-12-07 ARI 17 KC  14
2014-12-07 DEN 24 BUF 17
2014-12-07 OAK 24 SF  13
2014-12-07 PHI 14 SEA 24
2014-12-07 LAC 14 NE  23
2014-12-08 GB  43 ATL 37
2014-12-11 LAR  6 ARI 12
2014-12-14 ATL 20 PIT 27
2014-12-14 BAL 20 JAC 12
2014-12-14 BUF 21 GB  13
2014-12-14 CAR 19 TB  17
2014-12-14 CLE  0 CIN 30
2014-12-14 DET 16 MIN 14
2014-12-14 IND 17 HOU 10
2014-12-14 KC  31 OAK 13
2014-12-14 NE  41 MIA 13
2014-12-14 NYG 24 WAS 13
2014-12-14 LAC 10 DEN 22
2014-12-14 TEN 11 NYJ 16
2014-12-14 SEA 17 SF   7
2014-12-14 PHI 27 DAL 38
