# date, home, score, away, score
2009-11-29 SF  20 JAC  3
2009-11-29 MIN 36 CHI 10
2009-11-29 TEN 20 ARI 17
2009-11-29 BAL 20 PIT 17
2009-11-30 NO  38 NE  17
2009-12-03 BUF 13 NYJ 19
2009-12-06 ATL  7 PHI 34
2009-12-06 CAR 16 TB   6
2009-12-06 CHI 17 LAR  9
2009-12-06 CIN 23 DET 13
2009-12-06 IND 27 TEN 17
2009-12-06 JAC 23 HOU 18
2009-12-06 KC  13 DEN 44
2009-12-06 PIT 24 OAK 27
2009-12-06 WAS 30 NO  33
2009-12-06 MIA 22 NE  21
2009-12-06 CLE 23 LAC 30
2009-12-06 NYG 31 DAL 24
2009-12-06 SEA 20 SF  17
2009-12-06 ARI 30 MIN 17
2009-12-07 GB  27 BAL 14
2009-12-10 CLE 13 PIT  6
2009-12-13 ATL 23 NO  26
2009-12-13 BAL 48 DET  3
2009-12-13 CHI 14 GB  21
2009-12-13 HOU 34 SEA  7
2009-12-13 IND 28 DEN 16
2009-12-13 JAC 10 MIA 14
2009-12-13 KC  10 BUF 16
2009-12-13 MIN 30 CIN 10
2009-12-13 NE  20 CAR 10
2009-12-13 TB   3 NYJ 26
2009-12-13 TEN 47 LAR  7
2009-12-13 OAK 13 WAS 34
2009-12-13 DAL 17 LAC 20
2009-12-13 NYG 38 PHI 45
2009-12-14 SF  24 ARI  9
2009-12-17 JAC 31 IND 35
2009-12-19 NO  17 DAL 24
2009-12-20 BUF 10 NE  17
2009-12-20 DET 24 ARI 31
2009-12-20 KC  34 CLE 41
2009-12-20 NYJ  7 ATL 10
2009-12-20 LAR 13 HOU 16
2009-12-20 TEN 27 MIA 24
2009-12-20 DEN 19 OAK 20
2009-12-20 LAC 27 CIN 24
2009-12-20 BAL 31 CHI  7
2009-12-20 PHI 27 SF  13
2009-12-20 PIT 37 GB  36
2009-12-20 SEA  7 TB  24
2009-12-20 CAR 26 MIN  7
2009-12-21 WAS 12 NYG 45
2009-12-25 TEN 17 LAC 42
2009-12-27 ATL 31 BUF  3
2009-12-27 CIN 17 KC  10
2009-12-27 CLE 23 OAK  9
2009-12-27 GB  48 SEA 10
2009-12-27 MIA 20 HOU 27
2009-12-27 NYG  9 CAR 41
2009-12-27 NE  35 JAC  7
2009-12-27 NO  17 TB  20
2009-12-27 PIT 23 BAL 20
2009-12-27 ARI 31 LAR 10
2009-12-27 SF  20 DET  6
2009-12-27 PHI 30 DEN 27
2009-12-27 IND 15 NYJ 29
2009-12-27 WAS  0 DAL 17
2009-12-28 CHI 36 MIN 30
2010-01-03 BUF 30 IND  7
2010-01-03 CAR 23 NO  10
2010-01-03 CLE 23 JAC 17
2010-01-03 DET 23 CHI 37
2010-01-03 HOU 34 NE  27
2010-01-03 MIA 24 PIT 30
2010-01-03 MIN 44 NYG  7
2010-01-03 LAR  6 SF  28
2010-01-03 TB  10 ATL 20
2010-01-03 DAL 24 PHI  0
2010-01-03 ARI  7 GB  33
2010-01-03 DEN 24 KC  44
2010-01-03 OAK 13 BAL 21
2010-01-03 LAC 23 WAS 20
2010-01-03 SEA 13 TEN 17
2010-01-03 NYJ 37 CIN  0
2010-09-09 NO  14 MIN  9
2010-09-12 TB  17 CLE 14
2010-09-12 BUF 10 MIA 15
2010-09-12 NE  38 CIN 24
2010-09-12 HOU 34 IND 24
2010-09-12 JAC 24 DEN 17
2010-09-12 TEN 38 OAK 13
2010-09-12 NYG 31 CAR 18
2010-09-12 CHI 19 DET 14
2010-09-12 PIT 15 ATL  9
2010-09-12 LAR 13 ARI 17
2010-09-12 PHI 20 GB  27
2010-09-12 SEA 31 SF   6
2010-09-12 WAS 13 DAL  7
2010-09-13 NYJ  9 BAL 10
2010-09-13 KC  21 LAC 14
2010-09-19 GB  34 BUF  7
2010-09-19 MIN 10 MIA 14
2010-09-19 CLE 14 KC  16
2010-09-19 TEN 11 PIT 19
2010-09-19 DAL 20 CHI 27
2010-09-19 DET 32 PHI 35
2010-09-19 ATL 41 ARI  7
2010-09-19 CAR  7 TB  20
2010-09-19 CIN 15 BAL 10
2010-09-19 DEN 31 SEA 14
2010-09-19 OAK 16 LAR 14
2010-09-19 WAS 27 HOU 30
2010-09-19 NYJ 28 NE  14
2010-09-19 LAC 38 JAC 13
2010-09-19 IND 38 NYG 14
2010-09-20 SF  22 NO  25
2010-09-26 NYG 10 TEN 29
2010-09-26 CAR  7 CIN 20
2010-09-26 TB  13 PIT 38
2010-09-26 NE  38 BUF 30
2010-09-26 BAL 24 CLE 17
2010-09-26 MIN 24 DET 10
2010-09-26 NO  24 ATL 27
2010-09-26 HOU 13 DAL 27
2010-09-26 KC  31 SF  10
2010-09-26 LAR 30 WAS 16
2010-09-26 JAC  3 PHI 28
2010-09-26 DEN 13 IND 27
2010-09-26 ARI 24 OAK 23
2010-09-26 SEA 27 LAC 20
2010-09-26 MIA 23 NYJ 31
2010-09-27 CHI 20 GB  17
2010-10-03 BUF 14 NYJ 38
2010-10-03 CLE 23 CIN 20
2010-10-03 PIT 14 BAL 17
2010-10-03 TEN 20 DEN 26
2010-10-03 GB  28 DET 26
2010-10-03 ATL 16 SF  14
2010-10-03 NO  16 CAR 14
2010-10-03 LAR 20 SEA  3
2010-10-03 JAC 31 IND 28
2010-10-03 OAK 24 HOU 31
2010-10-03 PHI 12 WAS 17
2010-10-03 LAC 41 ARI 10
2010-10-03 NYG 17 CHI  3
2010-10-04 MIA 14 NE  41
2010-10-10 BUF 26 JAC 36
2010-10-10 BAL 31 DEN 17
2010-10-10 IND 19 KC   9
2010-10-10 WAS 16 GB  13
2010-10-10 DET 44 LAR  6
2010-10-10 CAR  6 CHI 23
2010-10-10 CIN 21 TB  24
2010-10-10 CLE 10 ATL 20
2010-10-10 HOU 10 NYG 34
2010-10-10 ARI 30 NO  20
2010-10-10 DAL 27 TEN 34
2010-10-10 OAK 35 LAC 27
2010-10-10 SF  24 PHI 27
2010-10-11 NYJ 29 MIN 20
2010-10-17 GB  20 MIA 23
2010-10-17 LAR 20 LAC 17
2010-10-17 NE  23 BAL 20
2010-10-17 PIT 28 CLE 10
2010-10-17 HOU 35 KC  31
2010-10-17 NYG 28 DET 20
2010-10-17 PHI 31 ATL 17
2010-10-17 CHI 20 SEA 23
2010-10-17 TB   6 NO  31
2010-10-17 DEN 20 NYJ 24
2010-10-17 SF  17 OAK  9
2010-10-17 MIN 24 DAL 21
2010-10-17 WAS 24 IND 27
2010-10-18 JAC  3 TEN 30
2010-10-24 ATL 39 CIN 32
2010-10-24 MIA 22 PIT 23
2010-10-24 BAL 37 BUF 34
2010-10-24 KC  42 JAC 20
2010-10-24 NO  17 CLE 30
2010-10-24 CHI 14 WAS 17
2010-10-24 CAR 23 SF  20
2010-10-24 TB  18 LAR 17
2010-10-24 TEN 37 PHI 19
2010-10-24 SEA 22 ARI 10
2010-10-24 LAC 20 NE  23
2010-10-24 DEN 14 OAK 59
2010-10-24 GB  28 MIN 24
2010-10-25 DAL 35 NYG 41
2010-10-31 SF  24 DEN 16
2010-10-31 DAL 17 JAC 35
2010-10-31 CIN 14 MIA 22
2010-10-31 KC  13 BUF 10
2010-10-31 DET 37 WAS 25
2010-10-31 LAR 20 CAR 10
2010-10-31 NYJ  0 GB   9
2010-10-31 LAC 33 TEN 25
2010-10-31 NE  28 MIN 18
2010-10-31 ARI 35 TB  38
2010-10-31 OAK 33 SEA  3
2010-10-31 NO  20 PIT 10
2010-11-01 IND 30 HOU 17
2010-11-07 DET 20 NYJ 23
2010-11-07 BAL 26 MIA 10
2010-11-07 CLE 34 NE  14
2010-11-07 HOU 23 LAC 29
